sentiment_score,value,company
-1.6,Agility,3M
0.7,Collaboration,3M
0.2,Customer,3M
0.7,Diversity,3M
-0.3,Execution,3M
1.4,Innovation,3M
1,Integrity,3M
-1.2,Performance,3M
-0.9,Respect,3M
0.1,Agility,Anheuser-Busch InBev
0,Collaboration,Anheuser-Busch InBev
-1.1,Customer,Anheuser-Busch InBev
-0.7,Diversity,Anheuser-Busch InBev
0.6,Execution,Anheuser-Busch InBev
2,Innovation,Anheuser-Busch InBev
-1,Integrity,Anheuser-Busch InBev
0.9,Performance,Anheuser-Busch InBev
-0.8,Respect,Anheuser-Busch InBev
-1.3,Agility,ABB
-0.2,Collaboration,ABB
-0.3,Customer,ABB
1.5,Diversity,ABB
-0.7,Execution,ABB
1.5,Innovation,ABB
0.9,Integrity,ABB
-1.1,Performance,ABB
-0.3,Respect,ABB
-1.2,Agility,Abbott Laboratories
0.3,Collaboration,Abbott Laboratories
1.9,Customer,Abbott Laboratories
0.8,Diversity,Abbott Laboratories
-0.8,Execution,Abbott Laboratories
1,Innovation,Abbott Laboratories
-0.6,Integrity,Abbott Laboratories
-0.4,Performance,Abbott Laboratories
-1.1,Respect,Abbott Laboratories
-1,Agility,AbbVie
0.5,Collaboration,AbbVie
2.2,Customer,AbbVie
0.1,Diversity,AbbVie
-0.5,Execution,AbbVie
1,Innovation,AbbVie
-0.6,Integrity,AbbVie
-0.8,Performance,AbbVie
-0.9,Respect,AbbVie
-0.4,Agility,Abercrombie & Fitch
1.3,Collaboration,Abercrombie & Fitch
0.9,Customer,Abercrombie & Fitch
0.2,Diversity,Abercrombie & Fitch
-0.7,Execution,Abercrombie & Fitch
1.7,Innovation,Abercrombie & Fitch
-1.2,Integrity,Abercrombie & Fitch
-0.8,Performance,Abercrombie & Fitch
-1,Respect,Abercrombie & Fitch
-1.3,Agility,Accenture
0.3,Collaboration,Accenture
0.2,Customer,Accenture
1.4,Diversity,Accenture
-0.3,Execution,Accenture
1.8,Innovation,Accenture
-0.6,Integrity,Accenture
-1,Performance,Accenture
-0.6,Respect,Accenture
-1.6,Agility,Adobe
0.3,Collaboration,Adobe
0.3,Customer,Adobe
-0.1,Diversity,Adobe
-0.4,Execution,Adobe
2.2,Innovation,Adobe
-0.2,Integrity,Adobe
-0.9,Performance,Adobe
0.4,Respect,Adobe
-1.2,Agility,ADP
0.4,Collaboration,ADP
-0.3,Customer,ADP
1.8,Diversity,ADP
-0.4,Execution,ADP
1.5,Innovation,ADP
-0.9,Integrity,ADP
0.1,Performance,ADP
-1,Respect,ADP
-1.2,Agility,AdventHealth
1.3,Collaboration,AdventHealth
0.8,Customer,AdventHealth
1.7,Diversity,AdventHealth
-0.9,Execution,AdventHealth
0.1,Innovation,AdventHealth
-0.3,Integrity,AdventHealth
-0.7,Performance,AdventHealth
-0.9,Respect,AdventHealth
-1.3,Agility,Advisory Board
0.5,Collaboration,Advisory Board
1.5,Customer,Advisory Board
0.4,Diversity,Advisory Board
-0.5,Execution,Advisory Board
1.3,Innovation,Advisory Board
-1.5,Integrity,Advisory Board
0.4,Performance,Advisory Board
-0.7,Respect,Advisory Board
-0.8,Agility,Advocate Health Care
1.5,Collaboration,Advocate Health Care
1.1,Customer,Advocate Health Care
0.6,Diversity,Advocate Health Care
-0.5,Execution,Advocate Health Care
1.1,Innovation,Advocate Health Care
-1,Integrity,Advocate Health Care
-1.3,Performance,Advocate Health Care
-0.7,Respect,Advocate Health Care
-1,Agility,Aecom
0.6,Collaboration,Aecom
-0.1,Customer,Aecom
1.9,Diversity,Aecom
0.2,Execution,Aecom
1.2,Innovation,Aecom
-0.6,Integrity,Aecom
-1.1,Performance,Aecom
-1.1,Respect,Aecom
-1.4,Agility,Aeropostale
1.9,Collaboration,Aeropostale
1.1,Customer,Aeropostale
0.7,Diversity,Aeropostale
-1.1,Execution,Aeropostale
0.2,Innovation,Aeropostale
-0.5,Integrity,Aeropostale
-0.3,Performance,Aeropostale
-0.6,Respect,Aeropostale
-1.2,Agility,Aetna
0.2,Collaboration,Aetna
0.4,Customer,Aetna
1.4,Diversity,Aetna
-0.6,Execution,Aetna
1.7,Innovation,Aetna
-0.4,Integrity,Aetna
0,Performance,Aetna
-1.4,Respect,Aetna
-1.2,Agility,Aflac
0.3,Collaboration,Aflac
1.3,Customer,Aflac
0,Diversity,Aflac
-0.4,Execution,Aflac
1.2,Innovation,Aflac
-0.9,Integrity,Aflac
1.2,Performance,Aflac
-1.3,Respect,Aflac
-1,Agility,AIG
0.3,Collaboration,AIG
0.7,Customer,AIG
1.7,Diversity,AIG
-0.5,Execution,AIG
1.4,Innovation,AIG
-0.7,Integrity,AIG
-1.2,Performance,AIG
-0.7,Respect,AIG
-0.9,Agility,Airbnb
0.3,Collaboration,Airbnb
0.3,Customer,Airbnb
1.3,Diversity,Airbnb
-1.1,Execution,Airbnb
1.9,Innovation,Airbnb
-0.4,Integrity,Airbnb
-1.2,Performance,Airbnb
-0.2,Respect,Airbnb
-0.6,Agility,Alaska Airlines
0.3,Collaboration,Alaska Airlines
2.3,Customer,Alaska Airlines
0.2,Diversity,Alaska Airlines
-0.9,Execution,Alaska Airlines
0.5,Innovation,Alaska Airlines
-0.5,Integrity,Alaska Airlines
0.1,Performance,Alaska Airlines
-1.4,Respect,Alaska Airlines
-0.3,Agility,Albertsons
1.9,Collaboration,Albertsons
1.7,Customer,Albertsons
-0.4,Diversity,Albertsons
-0.7,Execution,Albertsons
-0.4,Innovation,Albertsons
-0.4,Integrity,Albertsons
-0.9,Performance,Albertsons
-0.5,Respect,Albertsons
-1.5,Agility,Alcatel-Lucent
0.2,Collaboration,Alcatel-Lucent
0.9,Customer,Alcatel-Lucent
1.3,Diversity,Alcatel-Lucent
-0.2,Execution,Alcatel-Lucent
1.3,Innovation,Alcatel-Lucent
-1.1,Integrity,Alcatel-Lucent
-1.1,Performance,Alcatel-Lucent
0.1,Respect,Alcatel-Lucent
-1.2,Agility,Alcon
1.1,Collaboration,Alcon
1,Customer,Alcon
1.6,Diversity,Alcon
-0.5,Execution,Alcon
0.5,Innovation,Alcon
-0.9,Integrity,Alcon
-0.6,Performance,Alcon
-1,Respect,Alcon
-0.3,Agility,Aldi
2.4,Collaboration,Aldi
0.8,Customer,Aldi
-1,Diversity,Aldi
-0.1,Execution,Aldi
-0.9,Innovation,Aldi
-0.2,Integrity,Aldi
0.1,Performance,Aldi
-0.9,Respect,Aldi
-1.3,Agility,Allergan
0.8,Collaboration,Allergan
0.6,Customer,Allergan
1,Diversity,Allergan
-0.6,Execution,Allergan
1.3,Innovation,Allergan
-0.8,Integrity,Allergan
0.6,Performance,Allergan
-1.5,Respect,Allergan
-0.3,Agility,Allscripts
-0.5,Collaboration,Allscripts
0,Customer,Allscripts
0.6,Diversity,Allscripts
-0.1,Execution,Allscripts
2.5,Innovation,Allscripts
-0.7,Integrity,Allscripts
-0.6,Performance,Allscripts
-1,Respect,Allscripts
-1.3,Agility,Allstate
1.2,Collaboration,Allstate
0.9,Customer,Allstate
0.9,Diversity,Allstate
-0.4,Execution,Allstate
1.3,Innovation,Allstate
-0.6,Integrity,Allstate
-1.1,Performance,Allstate
-1,Respect,Allstate
-0.6,Agility,Ally Financial
0.8,Collaboration,Ally Financial
0.9,Customer,Ally Financial
0.9,Diversity,Ally Financial
-0.7,Execution,Ally Financial
1.7,Innovation,Ally Financial
-1.1,Integrity,Ally Financial
-0.7,Performance,Ally Financial
-1.2,Respect,Ally Financial
-1.7,Agility,Alphabet (Parent company of Google)
0.5,Collaboration,Alphabet (Parent company of Google)
-0.1,Customer,Alphabet (Parent company of Google)
0.3,Diversity,Alphabet (Parent company of Google)
